,VB,VBG,VBD,RBR,VBN,VBP,JJ,IN,genre,VBZ,DT,CD,MD,RP,NN,TO,UH,RB,NNP,NNS,PRP,WRB,PRP$,WDT,WP,CC,JJR,FW,PDT,NNPS,JJS,$,WP$,EX,RBS,POS
0,9.0,5.0,21.0,1.0,4.0,38.0,36.0,31.0,0,8.0,4.0,17.0,1.0,20.0,111.0,5.0,20.0,31.0,159.0,15.0,31.0,,,,,,,,,,,,,,,
1,10.0,4.0,27.0,,1.0,48.0,60.0,11.0,0,10.0,5.0,21.0,1.0,2.0,185.0,2.0,,11.0,134.0,45.0,32.0,1.0,5.0,1.0,1.0,,,,,,,,,,,
2,6.0,11.0,27.0,,3.0,35.0,36.0,17.0,0,2.0,2.0,11.0,,2.0,103.0,1.0,,18.0,89.0,22.0,33.0,10.0,2.0,,,3.0,1.0,,,,,,,,,
3,5.0,3.0,20.0,,4.0,32.0,31.0,8.0,0,4.0,2.0,6.0,,32.0,127.0,1.0,,11.0,92.0,17.0,16.0,2.0,1.0,,,4.0,,,,,,,,,,
4,11.0,12.0,27.0,,7.0,43.0,62.0,17.0,0,5.0,6.0,16.0,1.0,1.0,181.0,1.0,5.0,7.0,136.0,26.0,33.0,3.0,7.0,,2.0,2.0,1.0,,,,,,,,,
5,7.0,14.0,9.0,,1.0,17.0,20.0,4.0,0,6.0,3.0,14.0,2.0,,110.0,3.0,,10.0,98.0,8.0,13.0,,1.0,,,2.0,,,,,,,,,,
6,,,,,,2.0,1.0,4.0,0,,1.0,2.0,,,,1.0,,,20.0,1.0,2.0,,,,,,,,,,,,,,,
7,5.0,3.0,21.0,,4.0,32.0,31.0,7.0,0,4.0,2.0,6.0,,32.0,127.0,1.0,,11.0,91.0,18.0,16.0,2.0,1.0,,1.0,4.0,,,,,,,,,,
8,10.0,,26.0,,3.0,62.0,49.0,14.0,0,1.0,3.0,5.0,1.0,,188.0,2.0,,18.0,90.0,18.0,48.0,1.0,3.0,,,14.0,,1.0,2.0,,,,,,,
9,2.0,1.0,20.0,,8.0,17.0,48.0,9.0,0,10.0,4.0,4.0,,1.0,83.0,1.0,,13.0,55.0,10.0,21.0,2.0,2.0,,,,2.0,,,1.0,1.0,,,,,
10,1.0,,43.0,,2.0,12.0,28.0,3.0,0,1.0,1.0,8.0,,,90.0,1.0,,3.0,105.0,13.0,14.0,,,,1.0,3.0,,,,,,,,,,
11,6.0,,16.0,1.0,1.0,12.0,47.0,8.0,0,7.0,6.0,21.0,2.0,,152.0,1.0,,9.0,152.0,10.0,16.0,,10.0,1.0,,3.0,,3.0,,,,,,,,
12,10.0,,24.0,,2.0,26.0,35.0,11.0,0,4.0,3.0,31.0,1.0,,121.0,2.0,2.0,14.0,91.0,14.0,21.0,,,,2.0,1.0,,,,,,1.0,,,,
13,16.0,6.0,29.0,,8.0,22.0,46.0,10.0,0,2.0,8.0,9.0,1.0,,72.0,4.0,,25.0,61.0,14.0,43.0,,1.0,,1.0,5.0,,,,,,,,,,
14,6.0,2.0,6.0,1.0,3.0,24.0,36.0,15.0,0,1.0,3.0,3.0,1.0,,37.0,1.0,,7.0,59.0,17.0,24.0,,2.0,1.0,,,,1.0,,,,,,,,
