genre,artist,song,lyrics
Hip-Hop,21 Savage,Bank Account,I buy new car bitch for real I tear mall bitch for real You cant even talk bitch no She fucking bosses shit oh God I pull raris shit choppers Harleys shit for real I Guccid down wearing Lacoste shit bitch Yeah Moncler yeah fur came that yeah yeah Triple homicide put chair yeah in jail Triple cross plug play fair yeah Oh god Got em tennis chains real blingy blingy Draco make chicken head like Chingy Chingy Walk Neiman Marcus I spend light fifty fifty Please proceed caution shooters right 21 Bad bitch cute face nice titties 7500 Saint Laurent jacket yeah Bitch careful dumpin ashes bitch I aint sucker I aint cut action nah The skreets raised me Im ho bastard wild wild wild wild I bought Rari I go faster skrrt Niggas tryna copy me playin catch 21 I might pull Ghost Casper 21 I smoking gas I got asthma Related The Best Karaoke Songs Ever Ranked Eminem Takes Down Trump In Powerful Freestyle Rap During BET Awards Cardi B Twitter React To Bodak Yellow Hitting No 1 On The Hot 100 I got 12345678 Ms bank account yeah Oh God In bank account yeah Oh God In bank account yeah Oh God In bank account yeah Oh God In bank account yeah Oh God In bank account yeah Oh God I got 12345678 shooters ready gun down yeah fast Ready gun down yeah Oh God Ready gun down yeah Oh God Ready gun down yeah Oh God Ready gun down yeah Oh God Ready gun down yeah Oh God Photos Yeah dog Im real dog 21 Regular buy seats I got house hill dog 21 Wanna see body nigga Get killed dog wet Wanna Tweet me nigga Get killed dog wet Killed dog Im real dog lil dog 21 Be dog wanna dog chasing mils dog Dunk right bitch like ONeal dog I shoot like Reggie Mill dog 21 Chopper sting like eel dogI got 12345678 Ms bank account yeah Oh God In bank account yeah Oh God In bank account yeah Oh God In bank account yeah Oh God In bank account yeah Oh God In bank account yeah Oh God I got 12345678 shooters ready gun down yeah fast Ready gun down yeah Oh God Ready gun down yeah Oh God Ready gun down yeah Oh God Ready gun down yeah Oh God Ready gun down yeah Oh GodRoulette clips send roulette hit Pull bitch say I got ruler dick Spray block down really rural shit Glock cocked now I dont really give fuck bout I hit Yeah bitch get jiggy Keep Siggy Bitch Im Mad Max know I got Ziggy Keep mad mag case wanna get busy Rari matte black I got Bentley meI got 12345678 Ms bank account yeah Oh God In bank account yeah Oh God In bank account yeah Oh God In bank account yeah Oh God In bank account yeah Oh God In bank account yeah Oh God I got 12345678 shooters ready gun down yeah fast Ready gun down yeah Oh God Ready gun down yeah Oh God Ready gun down yeah Oh God Ready gun down yeah Oh God Ready gun down yeah Oh God7500 Saint Laurent jacket yeah Bitch careful dumpin ashes bitch I aint sucker I aint cut action nah The skreets raised me Im ho bastard
Hip-Hop,21 Savage,Rap Saved Me,Intro 21 Savage Offset Goyard duffle got lot racks hey Louis Vuitton got lot racks yeah yeah yeah yeah My carryon got lot racks yeah yeah yeah yeah yeah Everywhere I go I got racks yeah yeah yeah yeah Yeah yeah yeah digg real huh huh heyProducer Tag Future If young Metro dont trust Im gon shoot youChorus 21 Savage Offset Im gang banging gang Im dangerous hey Smith Wesson brrt its stainless woo Brand new Rari skrt Im finna paint yeah She took xanny yeah fainted yeah Im gutter hey aint changing nah From gutter gutter rap saved rap She drive crazy drive brazy baby have baby Need cash need racks fuck pay fuck pay me Related 26 Best Breakup Songs Of All Time Eminem Takes Down Trump In Powerful Freestyle Rap During BET Awards Cardi B Twitter React To Bodak Yellow Hitting No 1 On The Hot 100 1 Offset Offset Where money where Where the paper where Ooh go acres ooh They biting drip like Sabre yeah yeah Who neighbor who I live island Im sacred island Yeah life matrix Be rich broke basic rich You dont want static yeah All shooters addys yeah yeah Alist status uh uh His Pateks his hers Out here gone gone gone zoom Piguets watch make em walk room You keep fire shoot moon I get fire I aim noon Street sweeper talkin bout broom nah I got blow balloons blow You smell that addict perfume Yeah wave big like typhoons woo Go fiftynine eighty moons bust down Twentyfive million move twentyfive I drip sleep snooze drip I love I meet Jesus Photos 21 Savage Im gangbanging yeah Im dangerous yeah Smith Wesson yeah its stainless yeah Brand new Rari yeah Im finna paint yeah She took xanny yeah fainted yeah Im gutter yeah aint changing yeah From gutter yeah rap saved yeah She drive crazy yah baby yah Need cash yah fuck pay yahVerse 2 21 Savage Im sedated yah eyes lazy yah Bloody Phantom yah seats brazy yah I dont payments uhhuh new Bentayga uhhuh Cost twoeighty uhhuh bitch I paid it uhhuh Rover SVR I got seats blazin 21 Went gang got cheese grated 21 Bitch nut baby dating 21 My tank top Givenchy lil bitch Im basic Sellin glass house nigga house nigga Js smokin house nigga the house nigga Send bullets spouse nigga spouse nigga Hide racks couch nigga couch niggaChorus 21 Savage Offset Im gang banging yeah Im dangerous yeah Smith Wesson yeah its stainless yeah Brand new Rari yeah Im finna paint yeah She took xanny yeah fainted yeah Im gutter hey aint changing nah From gutter gutter rap saved rap She drive crazy drive brazy baby have baby Need cash need racks fuck pay fuck pay meVerse 3 Quavo Uh uh uh uh uh Uh uh uh uh uh Uh uh uh uh Chopper talk yeah AK AK walk brrt brrt Spray block spray its outline chalk outline chalk We dont talk young nigga stackin sign language stack it If get line disrespect boss He fire em ya fire Ironing boards ironing Straightening money ironing boards yeah Connect streets streets Nigga keep lookin cant find cord yeah Patek Phillipe Patek much water cant find shore drippin Save beef save it nigga nobody cant find waterChorus 21 Savage Offset Im gang banging gang Im dangerous hey Smith Wesson brrt its stainless woo Brand new Rari skrt Im finna paint yeah She took xanny yeah fainted yeah Im gutter hey aint changing nah From gutter gutter rap saved rap She drive crazy drive brazy baby have baby Need cash need racks fuck pay fuck pay me
Hip-Hop,21 Savage,X Bitch,110 bad bitches mansion Wrist Milly Rock diamonds dancin When workin hard money start expandin I got model bitches wanna lick like candy And drugs come handy Last name Savage bitch Im Randy Hit condom make eat plan B And Im sippin Codeine BrandyIm stuntin exbitch Im flexin exbitch Hold up Im stuntin exbitch Hold up Im flexin exbitch Fuck wedding ring I bought necklace Diamonds got flu try catch I left ho alone cause ratchet All bitches salty cant stand Related 23 One Hit Wonders You Still Cant Get Out Of Your Head Eminem Takes Down Trump In Powerful Freestyle Rap During BET Awards Cardi B Twitter React To Bodak Yellow Hitting No 1 On The Hot 100 Flexin bitch hold Bought necklace bitch hold Her friend gon lick like fruit roll She feelins Gram grow 21 flexin bitch hold I aint textin back bitch hold I aint stressin bout bitch hold 21 gon get stick hold Hold up hold up bitch I like ball Hold up hold up without weave bald Hold up bitch I spent rent inside mall Told got nigga broke lost Hold up private location Hold up put back rotation Hold up bitches me immigration Hold up goin translations Photos Im stuntin exbitch Im flexin exbitch Hold up Im stuntin exbitch Hold up Im flexin exbitch Fuck wedding ring I bought necklace Diamonds got flu try catch I left ho alone cause ratchet All bitches salty cant stand meHold up bitch Rolex fleek Hold up bitch diamonds fleek Hold up I got gold teeth Hold up got Rainbow feet Hold up corny niggas dont impress Hold up never let bitch dress Hold up cant motherfuckin judge check Hold up I dont give fuck ring Hold up money make old bitches hate Hold up bitch still stay Section8 Hold up new bitch wetter lake Hold up love let paint face Hold up fell love good throat Hold up fell love good throat Hold up ripped confidential papers Hold up done made wake savage upIm stuntin exbitch Im flexin exbitch Hold up Im stuntin exbitch Hold up Im flexin exbitch Fuck wedding ring I bought necklace Diamonds got flu try catch I left ho alone cause ratchet All bitches salty cant stand me10 bad bitches mansion Wrist Milly Rock diamonds dancin When workin hard money start expandinIf Young Metro dont trust you Im gon shoot And drugs come handy Last name Hendrix bitch know Im Jimi Hit em condoms ship right back country And Im sippin codeine tats stomach
Hip-Hop,21 Savage,No Heart,Young Savage trappin hard Why niggas cappin hard Why got 12 car garage Why pullin rappers cards Cause niggas pussy Im hard I turn fucking soft hard I grew streets without heart Im praying Glock cardI sit back read like Cat Hat 21 Savage cat MAC 21 Savage Boyz N The Hood I pull you shoot ass back Stuart Little heard niggas rats Pockets full cheese bitch I got racks Im real street nigga bitch I one niggas bangin wax Pussy niggas love sneak dissing til I pull em slap em fire Wet mamas house wet grandmas house keep shootin somebody die So many shots neighbor looked calendar thought Fourth July You friends playing Nintendo I playin round fire Seventh grade I got caught pistol sent Pantherville Eighth grade started playin football I like fuck field Ninth grade I knocking niggas out nigga like Holyfield Fast forward nigga 2016 Im screaming fuck deal Bad bitch me thick I dont even need pill I listen raps thought hard You aint even street real Niggas love sneak dissing twitter They dont want beef real And niggas play like tough till nigga get killed till nigga get spilled til blood get spilled Ima favorite rapper shoot like Im John Dill I since day one Savage I aint even hating So whats instagram shit Savage I playin Yall pussy niggas fakin bitch I hang around Haitians Pull you tie kids Pistol whip bitch naked Come man Savage know I always play mixtape Yeah nigga fuck that ask bitch dick tastes Related 27 Best Ever Songs From Movie Soundtracks Eminem Takes Down Trump In Powerful Freestyle Rap During BET Awards Cardi B Twitter React To Bodak Yellow Hitting No 1 On The Hot 100 Young Savage trappin hard Why niggas cappin hard Why got 12 car garage Why pullin rappers cards Cause niggas pussy Im hard I turn fucking soft hard I grew streets without heart Im praying Glock cardSo much dope broke scale They say crack kills nigga crack sells My brother kitchen rappin bale Louis V bag Louis V belt Chain swangin diamonds blangin hold Pistol swangin gang bangin hold Niggas actin like groupies dont know us Little know bitches fuckin tour bus Photos Young Savage trappin hard Why niggas cappin hard Why got 12 car garage Why pullin rappers cards Cause niggas pussy Im hard I turn fucking soft hard I grew streets without heart I grew streets without heartSo much dope broke scale They say crack kills nigga crack sells My brother kitchen rappin bale Louis V bag Louis V belt
Hip-Hop,21 Savage,X,10 bad bitches mansion Wrist Milly Rock diamonds dancin When workin hard money start expandin I got model bitches wanna lick like candy And drugs come handy Last name Savage bitch Im Randy Hit condom make eat plan B And Im sippin Codeine BrandyIm stuntin exbitch Im flexin exbitch Hold up Im stuntin exbitch Hold up Im flexin exbitch Fuck wedding ring I bought necklace Diamonds got flu try catch I left ho alone cause ratchet All bitches salty cant stand Related Songs You Love If You Love Nerds Eminem Takes Down Trump In Powerful Freestyle Rap During BET Awards Cardi B Twitter React To Bodak Yellow Hitting No 1 On The Hot 100 Flexin bitch hold Bought necklace bitch hold Her friend gon lick like fruit roll She feelins Gram grow 21 flexin bitch hold I aint textin back bitch hold I aint stressin bout bitch hold 21 gon get stick hold Hold up hold up bitch I like ball Hold up hold up without weave bald Hold up bitch I spent rent inside mall Told got nigga broke lost Hold up private location Hold up put back rotation Hold up bitches me immigration Hold up goin translations Photos Im stuntin exbitch Im flexin exbitch Hold up Im stuntin exbitch Hold up Im flexin exbitch Fuck wedding ring I bought necklace Diamonds got flu try catch I left ho alone cause ratchet All bitches salty cant stand meHold up bitch Rolex fleek Hold up bitch diamonds fleek Hold up I got gold teeth Hold up got Rainbow feet Hold up corny niggas dont impress Hold up never let bitch dress Hold up cant motherfuckin judge check Hold up I dont give fuck ring Hold up money make old bitches hate Hold up bitch still stay Section8 Hold up new bitch wetter lake Hold up love let paint face Hold up fell love good throat Hold up fell love good throat Hold up ripped confidential papers Hold up done made wake savage upIm stuntin exbitch Im flexin exbitch Hold up Im stuntin exbitch Hold up Im flexin exbitch Fuck wedding ring I bought necklace Diamonds got flu try catch I left ho alone cause ratchet All bitches salty cant stand me10 bad bitches mansion Wrist Milly Rock diamonds dancin When workin hard money start expandinIf Young Metro dont trust you Im gon shoot And drugs come handy Last name Hendrix bitch know Im Jimi Hit em condoms ship right back country And Im sippin codeine tats stomach
Hip-Hop,21 Savage,Nothin New,They thought I rapped murder pistols Im tryna feed family I aint political You aint givin money look pitiful You make couple million niggas greedy envy Ayy fuck side gon shoot Sprinter I used sell crack spray MAC rental Niggas run hide roll window Got extendo hoodie cant wait til December Got extendo hoodie gon shoot camera Lost faith Jesus Christ prayin bandana Police gunned brother down shit hard handle Loading chopper gon show em black lives matterAnother nigga made news aint nothin new He done dropped outta school aint nothin new He done got first tool aint nothin new Mama dog food aint nothin new He smokin weed changin aint nothin new All friends gang bangin aint nothin new Got pocket full hundreds blue Another nigga hood tryna ball Related The 18 Greatest Revenge Songs All Time Eminem Takes Down Trump In Powerful Freestyle Rap During BET Awards Cardi B Twitter React To Bodak Yellow Hitting No 1 On The Hot 100 Shit gettin outrageous Treat us like slaves lock us cages Young black poor aint father since baby Why think skip school hang pavement Why think ridin round choppers safety Streets cutthroat nigga Im cutthroat I used sell dope nigga I cant vote Poppin Percocets kill pain I cant cope Anger genes used hang us ropes Civil rights came flood hood coke Breakin people tryna kill faith hope They killed Martin Luther King spoke Welcome hood yeah niggas dyin Same place best chicken gettin fried Same place police killin tellin lies It aint babies man I swear mamas cryin Photos Another nigga made news aint nothin new He done dropped outta school aint nothin new He done got first tool aint nothin new Mama dog food aint nothin new He smokin weed changin aint nothin new All friends gang bangin aint nothin new Got pocket full hundreds blue Another nigga hood tryna ball
Hip-Hop,21 Savage,My Choppa Hate Niggas,1 I show fit M duffel Show fit hunnid bags duffel Went bought Demon nigga burn rubber Bitch bad fuck I might hit rubber On Slaughter Gang shit bitch knife talkin Nigga I aint makin diss songs white chalkin All niggas dogs like bite dont it Glock 30 45 mic Goin brazy niggas think I need psych dont If I cant finesse em Imma put pipe em Niggas pussy cant wait turn mice ya 12 catch ya gon put blue lights ya Related 23 One Hit Wonders You Still Cant Get Out Of Your Head Eminem Takes Down Trump In Powerful Freestyle Rap During BET Awards Cardi B Twitter React To Bodak Yellow Hitting No 1 On The Hot 100 Hang around lot gang bangin ass niggas Crip Blood blue red bang nigga You might got pistol stick way bigger I call KKK cause choppa hate niggas Hang around lot gang bangin ass niggas Crip Blood blue red bang nigga You might got pistol stick way bigger I call KKK cause choppa hate niggasVerse 2 You lot talkin nigga Do lot walkin nigga thats Finna open morgue damn beef Choppa sword Game Thrones 223 Max out Tee Tay road finna max Late night pullin partments scraps Scraps out make wrong move get clapped Dont think Im slippin nigga rap Got hoodie man Im boogie man We bullshit man walk around Uzis man This Mulsanne Mustang Let 30 hang nigga Im gang Photos Hang around lot gang bangin ass niggas Crip Blood blue red bang nigga You might got pistol stick way bigger I call KKK cause choppa hate niggas Hang around lot gang bangin ass niggas Crip Blood blue red bang nigga You might got pistol stick way bigger I call KKK cause choppa hate niggasOutro Nightmare Elm Street Issa Nightmare Elm Street A Nightmare Elm Street Feel like Jason Friday 13th Hockey mask 223 Issa Nightmare Elm Street A Nightmare Elm Street
Hip-Hop,21 Savage,Special,In feelings got feelings She got feelings forreal She got feelings forreal Got feeling forreal She got feelings forreal She got feelings forreal Got me She got feelings forreal Buy brand new Bentley forreal Buy new Chanel forreal I dont kiss tell no Her diamonds raindrop yeah Stay fame stop yeah She scratching tank top Real niggas gone make pain stop Bad bitch gone ride till wheels 21 Baby gone calm Im pissed 21 Im savage panties might get ripped 21 Your ex didnt know appreciate missed Related The 18 Greatest Revenge Songs All Time Eminem Takes Down Trump In Powerful Freestyle Rap During BET Awards Cardi B Twitter React To Bodak Yellow Hitting No 1 On The Hot 100 We got something special We got something special We got something special We got something special I finna text But I aint wanna pest Even aint together no matter were forever Im still coming rescue Put coupe Put Jimmy Choo 21 Burken bag yeah twentyfive thousand tag yeah Put private jet yeah We aint never riding first class yeah And sex air yeah Make whole compartment gone crash yeah Hard find bad bitch stay true 21 Who gone spend late nights booth Gotta get bitch pullin shoot If cant stay aint gone reap fruits Coke bottle model like swallow Pussy good I give guala all money I got back forever put partner on God You aint gotta pay bills Photos We got something special We got something special yeah We got something special We got something special I finna text But I dont wanna pest Even aint together no matter were forever Im still coming rescue Ride ride me Tell truth dont lie lie me You know I need side side me Tell truth dont lie lie me Baby roll roll me Jump coupe and baby coast coast me If I broke kicking doors doors me Baby roll Roll 21 Imma hold forever You round forever They want use you Im tryna help Savage Im tryna build tryna feel Really aint none business We got something real special We got something special We got something special We got something special I finna text But I dont wanna pest Even aint together no matter were forever Im still coming rescue
Hip-Hop,21 Savage,Numb,Grind hard nigga grind hard I done grind hard Late nights playin bball decoy I corner robbers dboys Now Im charts man shit unbelievable Mama its lot secrets I keep Got much trouble thought teachers beef And paid cause livin like Greeks Jews Used leave stove runnin stove runnin Now its Louis rags nose runnin Got mud I dont owe nothin You pussyass niggas aint nothin Wanna see fucked cause poor hustlin The niggas back I head itchin Man Im nightmares feds listenin You fake gangstas pump fakin scared snitchin The coupe fast its fucking dash digital Related 23 Boy Band Slow Jams That Made You Believe In Love Eminem Takes Down Trump In Powerful Freestyle Rap During BET Awards Cardi B Twitter React To Bodak Yellow Hitting No 1 On The Hot 100 Numb pain money numb pain money Numb pain money numb pain Numb pain money numb pain money Numb pain money numb pain Numb pain money numb pain money Numb pain money numb Numb pain money numb pain money Numb pain money numb pain theIts bag head Ima pick It money house I used stick Got main bitch chillin splashin tryna lick Dick ridin niggas always tryna flick I aint tryna take bitches bitch Im rollin Swishers I count back end I jump pistol If aint suckin dick get early dismissal We got wifey spot tryna lick pickle I went bought Lamb cost nickel And I came bottom feel good And I went platinum still hood And I take gang everywhere I go Why niggas hatin me Man I dont know Aint place world I cant go And I got hundred racks inside GoGo And I get hundred racks show show Wanna give bitch heart I cant though I cant fall love stank ho Lil bitch I fell love bank ho And know I love good drank ho Photos Numb pain money numb pain money Numb pain money numb pain Numb pain money numb pain money Numb pain money numb pain Numb pain money numb pain money Numb pain money numb Numb pain money numb pain money Numb pain money numb pain theNumb pain money ride round Tommy And I put stomach I made lil bitch ride Youre old school runner youre old school runner But new school runnin costs hundred You lil niggas bummy 21 Make diss song gon wrap like mummy My young niggas geekin zombies They hungry tell you Run it I stole cars drove like gokarts Niggas actin like bitches got parts And I came gutter I dont got heart And Im straight gutter I dont got heart Nigga killed brother I go hard Put chopper face I Bogart Niggas tryna cross me I dont understand Im tryna take care family And Im sippin codeine brandy 21 And Im sippin codeine Im addict You go jail cant depend bad bitch She fucked sucked tryna keep fashion And Im really really rich I aint braggin Sometimes I really cant believe shit happened Who woulda thought Id make rappin I almost lost life I trappinNumb pain money numb pain money Numb pain money numb pain Numb pain money numb pain money Numb pain money numb pain Numb pain money numb pain money Numb pain money numb Numb pain money numb pain money Numb pain money numb pain theIf Young Metro dont trust you Im gon shoot
Hip-Hop,21 Savage,All The Smoke,Intro Woah woah woah woah woah Yeah yeah yeah Yeah yeah yeah yeah yeah Woah yeah woah woah yeah Woah woah woah woah Woah yeah woah yeah Woah yeah woah yeah Woah yeah woah yeah Wwoah woah woah yeah Yeah yeah yeah yeah Yeah yeah yeah yeah Yeah yeah yeah 21 Yeah 21 Related 23 Boy Band Slow Jams That Made You Believe In Love Eminem Takes Down Trump In Powerful Freestyle Rap During BET Awards Cardi B Twitter React To Bodak Yellow Hitting No 1 On The Hot 100 1 Dropped school 21 Went bought tool tool Got deuce deuce what Time act fool yeah Sellin 2 5s yeah Right Central Drive yeah You ask mama I aint gotta tell lies yeah Wanna snort line yeah Savage got lines yeah Yeah niggas used rap But I jumped line 21 I listened mixtape shit wack shit wack Studio time need get money back On God Back day I let uncle cook crack cook crack Back day I would took niggas pack took pack Fast forward still walk round strap 21 21 Gotta keep pistol me thats times all times Gotta keep yappa me I got kinds 21 Room full bad bitches theyre mine yeah Room full bad bitches theyre dimes 21 In breakdown trap servin dimes yeah Photos Burglarbar doors burglarbar doors yeah yeah Water stove water stove yeah yeah Watch whip O watch whip O 21 21 We want smoke want smoke 21 21 DRACO DRACO Draco Draco Shoot em face shoot em nose 21 21 I paid lawyer dope played nose yeah yeah AR scope nigga dont get close woah woahVerse 2 Trash bag full midgrade midgrade Im cuttin throat nigga switchblade switchblade She sucked dick long caught lip ache a lip ache New car drop Im list wait wait list Im wait list 21 I weight lift yeah Drop brick you thats weight lift yeah Drop stick you give whole clip yeah Closed casket nigga Im bastard 21 Ask around 6 nigga get drastic drastic Glenwood Road killin like Jurassic Park I see dead bodies like Im acid 21 She fuck good like tryna get ass yeahChorus Burglarbar doors burglarbar doors yeah yeah Water stove water stove yeah yeah Watch whip O watch whip O 21 21 We want smoke want smoke 21 21 DRACO DRACO Draco Draco Shoot em face shoot em nose 21 21 I paid lawyer dope played nose yeah yeah AR scope nigga dont get close woah woah
