genre,artist,song,lyrics
Rock,10 Years,What The Fuck,"In no end
A change
The demons of it
Capacity
A nesting
And just as tragically
My vision is burning
Is this all that i have left
And are you all that i have leftYour walls
They will come down
In this task
I will not faulter
Your walls
They will come down
I wont faulter
I WONT FAULTER


Related




 






26 Best Breakup Songs Of All Time







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

WHAT THE FUCK WOULD MAKE YOU THINK
THAT I WOULD FALL TO THIS?
WHAT THE FUCK WOULD MAKE YOU THINK
THAT I COULDN'T HANDLE THIS?
WHAT THE FUCK WOULD MAKE YOU THINK
THAT I WOULD FALL TO THIS?
WHAT THE FUCK (would make you think
that i couldnt handle this)My thoughts and my words
too have haunted
I begged and pleaded screaming
Stop, stop, stop, stop
But now i know the truth
And i can see right into you
Is this all that i have left
And are you all that i have left



Photos


































 




Your walls
They will come down
In this task
I will not faulter
Your walls
They will come downI wont faulter
I WONT FAULTERWHAT THE FUCK WOULD MAKE YOU THINK
THAT I WOULD FALL TO THIS?
WHAT THE FUCK WOULD MAKE YOU THINK
THAT I COULDN'T HANDLE THIS?
WHAT THE FUCK WOULD MAKE YOU THINK
THAT I WOULD FALL TO THIS?
WHAT THE FUCK WOULD MAKE YOU THINK
THAT I COULDN'T HANDLE THIS?Your walls
They will come down
In this task
I will not faulter
Your walls
They will come down
I wont fail at this
I WONT FAIL AT THISI wont fail at this
I wont fail at this
I wont fail at this
I wont fail at thisYou will pay for this
You will pay for this
You will pay for this
You will pay for thisWHAT THE FUCK WOULD MAKE YOU THINK
THAT I WOULD FALL TO THIS?
WHAT THE FUCK WOULD MAKE YOU THINK
THAT I COULDN'T HANDLE THIS?
WHAT THE FUCK!
What the fuck
WHAT THE FUCK!
What the fuck




 "
Rock,10 Years,Fix Me,"It's taking a lifetime to lose my way
A lifetime of yesterdays
All the wasted time on my hands turns to sand
And fades in the windCrossing lines, small crimes
Taking back what is mineI'm fine in the fire
I feed on the friction
I'm right where I should be
Don't try and fix me
I'm fine in the fire
I feed on the friction
I'm right where I should be
Don't try and fix me


Related




 






26 Best Breakup Songs Of All Time







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

So lost for so long to find to my way
I failed to follow, I'm out of placeCrossing lines, small crimes
Taking back what is mineI'm fine in the fire
I feed on the friction
I'm right where I should be
Don't try and fix me
I'm fine in the fire
I feed on the friction
I'm right where I should be
Don't try and fix meIsolation
Hesitation
Seperation
Revelation



Photos


































 




I'm fine in the fire
I feed on the friction
I'm right where I should be
Don't try and fix me
I'm fine in the fire
I feed on the friction
I'm right where I should be
Don't try and fix me
I'm fine in the fire
I feed on the friction
I'm right where I should be
Don't try and fix me




 "
Rock,10 Years,Novacaine,"With dirt on your knees and blood in your teeth
You want life to lead you to believe in something
But it's coming
Oh oh, the numbing
So we dive on in to the deeper end
For a blissful kiss from Judas' lips
But it's coming
Oh yeah, the numbingSuper novacaine
(You're dead as dead can be)
You won't feel a thing
Sleepwalking
(You're dead as dead can be)
You won't feel a thing


Related




 






The 18 Greatest Revenge Songs of All Time







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

Analysed and diagnosed
Over exposed to the undertow
You'll never know it's coming
Oh oh, the numbing
So you meditate or medicate
To maintain with a getaway
But it's coming
Oh yeah, the numbingSuper novacaine
(You're dead as dead can be)
You won't feel a thing
Sleepwalking
(You're dead as dead can be)
You won't feel a thing



Photos


































 




Super novacaine
(You're dead as dead can be)
You won't feel a thing
Sleepwalking
(You're dead as dead can be)
Living in a dreamSuper novacaine
(You're dead as dead can be)
You won't feel a thing
Sleepwalking
(You're dead as dead can be)
You won't feel a thing




 "
Rock,10 Years,"So Long, Goodbye","Keep changing your mind
Like clouds in the sky
Love me when you're high
Leave me when you cryI know it all
It takes time
Like a river running dry
When the sun's too brightSo long, this is goodbye
May we meet again in another life
Like strangers passing by
May we see clearly in a different light


Related




 






The Best Karaoke Songs Ever, Ranked







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

Keep dodging lights
Like a thief in the night
The sun will rise
And expose all the liesSo why deny that you and I
Lead different lives
The rivers from your eyes
Can't change my mindSo long, this is goodbye
May we meet again in another life
Like strangers passing by
May we see clearly in a different lightThe rivers from your eyes
Can't change my mind



Photos


































 




So long, this is goodbye
May we meet again in another life
Like strangers passing by
May we see clearly in a different light




 "
Rock,10 Years,Shelter,"Please savior of here
Give me shelter from fear
I need answers to this
Crazy world that's so mixed
With this pain that leaves us
Lifeless and so dead-souled
We all need to break this moldI'm so sure, you'll blame me for this all
What's so wrong, you claim to call this love
I'm so sure, you'll blame me for this all
What's so wrong, you claim to call this love


Related




 






Songs You Love If You Love Nerds







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

Drips hit the floor, who cares at all
Flesh sheared and torn, sleaves hide remorse
Stardom branded skin, traps pain within
Expectations, never reachingI'm so sure, you'll blame me for this all
What's so wrong, you claim to call this love
I'm so sure, you'll blame me for this all
What's so wrong, you claim to call this love




Photos


































 




I'm so sure, you'll blame me for this all
What's so wrong, you claim to call this love
I'm so sure, you'll blame me for this all
What's so wrong, you claim to call this love




 "
Rock,10 Years,Wasteland,"Change my attempt good intentions
Crouched over
You were not there
Living in fear
But signs were not really that scarce
Obvious tears
But I will not
Hide you through this
I want you to help them, please see
The bleeding heart perched on my shirt
Die, withdraw
Hide in cold sweat
Quivering lips
Ignore remorse
Naming a kid, living wasteland
This time you've tried
All that you can turning you red
Change my attempt good intentions
Should I, could I
Here we are with your obsession
Should I, could I
Crowned hopeless
The article read living wasteland
This time you've tried
All that you can turning you red
but I will not
Hide you through this
I want you to help
Change my attempt good intentions
Should I, could I
Here we are with your obsession
Should I, could I
Heave the silver hollow sliver
Piercing through another victim
Turn and tremble be judgmental
Ignorant to all the symbols
Blind the face with beauty paste
Eventually you'll one day know
Change my attempt good intentions
Limbs tied, skin tight
Self inflicted his perdition
Should I, could I
Change my attempt good intentions
Should I, could I


Related




 






Songs You Love If You Love Nerds







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 





Photos


































 








 "
Rock,10 Years,Lucky You,"I put on my Sunday best,
not sure how I got into this mess.
He said son are you ready to repent?
But I just don't know if my lips will let go,
and give back control of my tongue,
for a confession.Lucky You.I'll tell you what you wanna hear, (what you wanna hear).
Beware, Beware.
I'll tell you what you wanna feel, (what you wanna feel).
Beware, Beware.



Related




 






The Best Karaoke Songs Ever, Ranked







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

So why would I wash my hands,
if I know they'll get dirty again?
She said are you ready to commit?
But I just don't know if a ring and a stone,
can hold back the doubt in my heart,
and keep me out of the dark.Lucky You.I'll tell you what you wanna hear, (what you wanna hear).
Beware, Beware.
I'll tell you what you wanna feel, (what you wanna feel).
Beware, Beware.Lucky you, never knew.
Lucky you, never knew.I'll tell you what you wanna hear, (what you wanna hear).
Beware, Beware.
I'll tell you what you wanna feel, (what you wanna feel).
Beware, Beware.



Photos


































 




I say what you wanna hear, (what you wanna hear).
Be careful what you wish for.
I know how you wanna feel, (how you wanna feel).
Beware, Beware.Lucky You.




 "
Rock,10 Years,Beautiful,"Beauty over wisdom to fit in with their styles
Cinderella stories for a price
Vanity's a business built to fleece the unique
Silicone and stars collide, the rest will fall in lineJust as beautiful as you are
It's so pitiful what you are
You should have see this coming
All alongVisually you're stimulating to my eyes
Cinderella syndrome, full of lies
Your insecurities are concealed by your pride
Pretty soon your ego will, kill what's left inside


Related




 






23 Boy Band Slow Jams That Made You Believe In Love







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

Just as beautiful as you are
It's so pitiful what you are
You should have seen this coming
All alongYou're everything that's so typical
Maybe you're alone for a reason,
You're the reasonSo pitiful is what you are,
You should have seen this coming all along,
Just as beautiful as you are,
It's so pitiful what you are,
You should have seen this coming all along




Photos


































 




It's so pitiful what you are,
As beautiful as you are
You should have seen this coming
All along




 "
Rock,10 Years,Prey,"One at a time,
One in the same,
One is the time,
That remains.Snip back the weak before they give away,
I'm twisted in knots from hard work and strain.I've been waiting so long for this time,
I'm terrified,
Blind in ways I've never realized,
I don't mind.



Related




 






The Best Karaoke Songs Ever, Ranked







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

All at a time,
All in the same,
Califormula,
I've become prey.Strolling down,
In my face,
These tears I'm not crying,
This will not kill me.I've been waiting so long for this time,
I'm terrified,
Blind in ways I've never realized,
I don't mind.To do this right,
We must realize,
Everyone needs eagering.



Photos


































 




I've been waiting so long for this time,
I'm terrified,
Blind in ways I've never realized,
I don't mind.




 "
Rock,10 Years,Seasons To Cycles,"How small do you want me to be,
Weighed in the balance left lonely,
So much can be said through silence.As hard as it seems,
All that we need is to close to be seen.Our lives,
You build your walls for me to climb,
A billion walls for me to climb,
You build your walls for me to climb.



Related




 






15 Huge Stars Who Were Backup Singers First







Linkin Park Honors Chester Bennington In The Emotional Video For 'One More Light' 







Watch Beck's Heroic New Music Video For 'Up All Night'






 
 

Travels the very nature we live in,
Seasons to cycles children to men.Mislead and misread,
Company or companion,
With all of or hearts,
We follow our dreams,
Slightly out of reach.Our lives,
You build your walls for me to climb,
A billion walls for me to climb,
You build your walls for me to climb.




Photos


































 




Our lives,
You build your walls for me to climb,
A billion walls for me to climb,
You build your walls for me to climb.




 "
