genre,artist,album,song,lyrics
Hip-Hop,Keith Urban,Ripcord ,Gone Tomorrow (Here Today) ,"A child held up in the sky
To sunset youth, we say goodbye
But I won’t live with regret
Carpe Diem is the secret
‘Cause, it’s....

Gone tomorrow, here today
I ain’t gonna waste it
I ain’t gonna waste it
No, it’s gone tomorrow
But it’s here today
I won’t let it slip away

I feel the rush it’s kicking in
And I wish this night would never end
We’re never coming back around
Like shooting stars, we’re burning out
It’s...

Gone tomorrow, here today
I ain’t gonna waste it
I ain’t gonna waste it
No, it’s gone tomorrow
But it’s here today
I won’t let it slip away

I wanna feel, wanna touch the light
I look around for the friends that have gone and I’m
Reminded that it’s all just a fantasy
But we get to choose what we wanna believe
And I wanna believe that there’s something more
Another level to the dream, right through the door
But right now’s for real and it’s fading fast
Better live ‘cause we’re never gonna to get it back

It’s...
Gone tomorrow, here today
I said, it’s gone tomorrow but it’s here today
I won’t let it slip away"
Hip-Hop,Keith Urban,Ripcord ,Wasted Time ,"The rain is coming down tonight
I'm smiling looking at this photograph
I hear that song and I'm flying right back
To when we had it made
Every Friday night when the sun went down
We'd be running them streets like we owned the town

And I just can't let it go, no, I just can't let it go
I wonder if you ever think about it like I do
Seven kids on my two lane road
Had the guns on the radio
After all this time it still feels, feels so good

When I think about those summer nights
Singing out the window, on the back roads, Sweet Child of Mine
Sipping on the local's spark of light
Ain't it funny how the best days of my life
Was all that wasted time, all that wasted time

Out of nowhere, it slipped away
And the rope by the river hangs silently
And the town that I knew ain't nothing like it used to be
Ah, I can't explain
They took all the color from the picture frame
And the days got sold to the (?) and the game

And I just can't let it go, no, I just can't let it go
I wonder if you ever think about it like I do
Seven kids on my two lane road
We had the guns on the radio
After all this time it still feels, feels so good

When I think about those summer nights
Singing out the window, on the back roads, Sweet Child of Mine
Sipping on the local's spark of light
Ain't it funny how the best days of my life
Was all that wasted time, all that wasted time
Swinging on the line
Living all that wasted time

Hey, hey, now
Summer dresses rained on the hood of the car
Only music that we had was out the left speaker
We were living every second 'til the time ran out
We had nothing but we had it all

When I think about those summer night
Sneaking out the window, running back roads
Your hand in mine
We were going nowhere, we were so alive
Uh huh, ain't it funny how the best days of my life
Was all that wasted time, all that wasted time
We were swinging out on the line
Living all that wasted time

Hey, you know oh
All that wasted time
Don't you feel it coming on back now
Time, time, time"
Hip-Hop,Keith Urban,Ripcord ,Break on Me ,"There'll be days your heart don't wanna beat
You pray more than you breathe
And you just wanna fall to pieces
And nights, those 2 AM calls
Where dreams become walls
And you just need a break
Break on me

Shatter like glass
Come apart in my hands
Take as long as it takes, girl
Break on me
Put your head on my chest
Let me help you forget
When your heart needs to break
Just break on me

There'll be times when someone you know
Becomes someone you knew
But you'd do anything to change it
And words you wanna take back
But you know you can't
When the page just won't turn
And it still hurts
Break on me

Shatter like glass
Come apart in my hands
Take as long as it takes, girl
Break on me
Put your head on my chest
Let me help you forget
When your heart needs to break
Just break on me

Oh, when you need somebody
When you need somebody right now
You're where I'll be
Break on me

Shatter like glass
Come apart in my hands
Take as long as it takes, girl
Break on me
Put your head on my chest
Let me help you forget
When your heart needs to break
Just break on me
Break on me
Break on me, baby"
Hip-Hop,Keith Urban,Ripcord ,Worry 'Bout Nothin' ,"Give me a hundred acres, cut a path through the long leaf pines
A little piece of paper saying everything I see is mine
As long as you’re beside me, it’s all the same when the daylight ends
I ain’t never gonna worry ‘bout nothin’ again
I ain’t never gonna worry ‘bout nothin’ again
(Tryin’ to) make the money but the money ain’t gonna make me
Do nothin’, I don’t really want to
Tryin’ to make the money but the money ain’t gonna make me
Do nothin’ but spend a little time on you

You sittin’ there lookin’ all pretty
In the sunset tree line half-drunk with me (and I)
Love that feelin’ when the smile starts kickin’ in
Ain’t never gonna worry ‘bout nothin’ again
You sittin’ there lookin’ all pretty
In the sunset tree line sparkin’ up with me
And I love that feelin’ when the smile starts kickin’ in
I ain’t never gonna worry ‘bout nothin’ again

I’ll take a blue sky highway, Painted Desert to the Vegas strip
Or a sleepy hometown with just one or two street lights lit
Where the blacktop dies and the gravel begins
Me and you skinny dippin’ where the river bends
Ain’t never gonna worry ‘bout nothin’ again
I ain’t never gonna worry ‘bout nothin’ again

Paint the barn roof “See Rock City”
Kickin’ back just a couple of sunshine hippies
Yeah, the way that you and the smoke and the whiskey blend
Ain’t never gonna worry ‘bout nothin’ again
Paint the barn roof “See Rock City”
Kickin’ back just a couple of sunshine hippies
Yeah, the way that you and the smoke and the whiskey blend
Ain’t never gonna worry ‘bout nothin’ again

(Tryin’ to) make the money but the money ain’t gonna make me
Do nothin’, I don’t really want to
Tryin’ to make the money but the money ain’t gonna make me
Do nothin’ but spend a little time on you

You sittin’ there lookin’ all pretty
In the sunset tree line half-drunk with me (and I)
Love that feelin’ when the smile starts kickin’ in
Ain’t never gonna worry ‘bout nothin’ again
You sittin’ there lookin’ all pretty
In the sunset tree line sparkin’ up with me
And I love that feelin’ when the smile starts kickin’ in
I ain’t never gonna worry ‘bout nothin’ again
Paint the barn roof “See Rock City”
Kickin’ back just a couple of sunshine hippies
Yeah, the way that you and the smoke and the whiskey blend
Ain’t never gonna worry ‘bout nothin’ again"
Hip-Hop,Keith Urban,Ripcord ,That Could Still Be Us ,"Wide awake staring at my phone
Who's gonna give in first
We don't have to be all alone
We don't have to feel this hurt

Remember those nights in your driveway
Feelin' like the only ones left on Earth
And maybe I'm crazy
But I think that maybe

That could still be us...
Cause it still is sometimes at night, when my eyes are shut
Wish I could say it don't get to me
But it does...
And I know I probably think about you way too much 
But that's because
That could still be us

I went down to the river bank
Looked in the water and saw your face
That small town, summer wind
Whispers on my mistakes

Remember those nights in your backyard 
Making each other shake
And lately it kills me
And nothin' can fill me

Cause that could still be us...
And it still is sometimes at night, when my eyes are shut
Wish I could say it don't get to me
But it does...
And I know I probably think about you way too much 
But that's because
That could still be us

That could still be us
Oh, that could still be us
That could still be us

Tail lights fading in the dark 
I should've called out your name
I go by this night time park
And replay all again

What would've been
We should've been 
What was 

That could still be us...
And it still is sometimes at night, when my eyes are shut
I wish I could say it don't get to me
But it does...
And I know I probably think about you way too much 
And that's because
That could still be us

That could still be us
That could still be us
Oh, yeah
Oh, that could still be us
That could still be us"
Hip-Hop,Keith Urban,Ripcord ,Your Body ,"All the burnin’ lights
Go rushin’ by
I’m drivin’ like a wild man outta the city
Gotta leave the madness behind
This jungle world gets so insane
It’s a damned if you do
Damned if you don’t kinda deal
In this crazy game

Shinin’ in the darkness
Brighter than the sun
You fall into me
And we are one

And everything in the world is right
Stars align whenever my body
Is touching your body
And when I got your skin on mine
Fear gives way to heaven inside me
Whenever my body is touching your body

Your slight of hand
And your fire lips
Like a man with a habit
All I know’s I gotta have it
Yeah, the magic in your fingertips
The things you do
And the love we make
Underneath the covers
You carry me away

And everything in the world is right
Stars align whenever my body
Is touching your body
And when I got your skin on mine
Fear gives way to heaven inside me
Whenever my body is touching your body

They say, nothing lasts forever
We make that so untrue
When forever’s come and gone
I’ll still be holding on to you

And everything in the world is right
Stars align whenever my body
Is touching your body
And when I got your skin on mine
Fear gives way to heaven inside me
Whenever my body is touching your body"
Hip-Hop,Keith Urban,Ripcord ,Boy Gets A Truck ,"It ain’t a story as old as time
Just as old as when they first
Rolled off the assembly line
Everybody knows how it goes
Once upon a time, four wheels rolled and a

Boy gets a truck, truck gets a girl
Girl gets a midnight feeling he’s the one
One night turns to love
Love turns into one knee down
Down payment on a 3 bedroom house
Filled with the sound of little feet
Then you blink and he’s asking for the keys to pick her up
Boy gets a truck, truck gets a girl

It’s freedom flying down a two-lane
Young love steaming up the windows
‘Cause it can’t wait
She's whispering in your ear
While you're tryin’ to keep it on the road
It’s been goin’ on for years

Boy gets a truck, truck gets a girl
Girl gets a midnight feeling he’s the one
One night turns to love
Love turns into one knee down
Down payment on a 3 bedroom house
Filled with the sound of little feet
Then you blink and he’s asking for the keys to pick her up
Boy gets a truck, truck gets a girl

Yeah, she’ll slid on over
Put her head on your shoulder
While the wheels keep turnin’ the world
A boy gets a truck

Boy gets a truck, truck gets a girl
Girl gets a midnight feeling he’s the one
One night turns to love
Love turns into one knee down
Down payment on a 3 bedroom house
Filled with the sound of little feet
Then you blink and he’s asking for the keys to pick her up
Boy gets a truck, truck gets a girl"
Hip-Hop,Keith Urban,Ripcord ,The Fighter ,"feat. Carrie Underwood

I know he hurt you
Made you scared of love, too scared to love
He didn't deserve you
Cause your precious heart is a precious heart
He didn't know what he had and I thank God, oh, oh, oh
And it's gonna take just a little time
But you're gonna see that I was born to love you

What if I fall?
I won't let you fall
What if I cry?
I'll never make you cry
And if I get scared?
I'll hold you tighter
When they're tryna get to you baby I'll be the fighter
What if I fall?
I won't let you fall
What if I cry?
I promise I'll never make you cry
And if I get scared?
I'll hold you tighter
When they're tryna get to you baby I'll be the fighter

Look in the mirror
You're beautiful, so beautiful
I'm here to remind you
You're my only one, let me be the one
To heal all the pain that he put you through
It's a love like you never knew
Just let me show you

What if I fall?
I won't let you fall
What if I cry?
I'll never make you cry
And if I get scared?
I'll hold you tighter
When they're tryna get to you baby I'll be the fighter
What if I fall?
I won't let you call
What if I cry?
I promise, I'll never make you cry
And if I get scared?
I'll hold you tighter
When they're tryna get to you baby I'll be the fighter

I wanna believe that you got me baby
I swear I do from now until the next life
I wanna love, wanna give you all my heart

What if I fall?
I won't let you fall
What if I cry?
I'll never make you cry
And if I get scared?
I'll hold you tighter
When they're tryna get to you baby I'll be the fighter
What if I fall?
I won't let you call
What if I cry?
I'll never make you cry
And if I get scared?
I'll hold you tighter
When they're tryna get to you baby I'll be the fighter

What if I fall?
What if I cry?
And if I get scared?
I'll hold you tighter
When they're tryna get to you baby I'll be the fighter"
Hip-Hop,Keith Urban,Ripcord ,Blue Ain't Your Color ,"I can see you over there
Starring at your drink
Watchin’ that ice sink
All alone tonight

And chances are
You’re sittin’ here in this bar
‘Cause he ain’t gonna treat you right
Well, it’s probably not my place
But I’m gonna say it anyway
‘Cause you look like
You haven’t felt the fire
Had a little fun
Hadn’t had a smile in a little while
Baby

Blue looks good on the sky
Looks good on that neon buzzin’ on the wall
But darling, it don’t match your eyes
I’m tellin’ you
You don’t need that guy
It’s so black and white
He’s stealin’ your thunder
Baby, blue ain’t your color

I’m not tryna
Be another just
Pick you up
Kinda guy
Tryna drink you up
Tryna take you home
But I just don’t understand
How another man
Can take your sun
And turn it ice cold

Well, I’ve had enough to drink
And it’s makin’
Me think that I just might
Tell you if I were a painter I wouldn’t change ya
I’d just paint you bright
Baby

Blue looks good on the sky
Looks good on that neon buzzin’ on the wall
But darling, it don’t match your eyes
I’m tellin’ you
You don’t need that guy
It’s so black and white
He’s stealin’ your thunder
Baby, blue ain’t your color
Blue looks good on the sky
Looks good on that neon buzzin’ on the wall
But darling, it don’t match your eyes
I’m tellin’ you
You don’t need that guy
It’s so black and white
He’s stealin’ your thunder
Baby, blue ain’t your color"
Hip-Hop,Keith Urban,Ripcord ,Gettin' In The Way ,"Moonlight, it’s gotta be close to midnight
Where did it go
All the time, all the friends left waiting
Never made it ‘cause we kept making out

In the driveway, who would’ve thought in the driveway
That we would get lost
In that dashboard radio static
Makin’ our own kind of magic

Oooo, oh, I said, thirty more minutes, thirty minutes ago
Oooo, oh, but we’re still right here and you already know that

I should leave, put the car in drive babe
But your kiss keeps tellin’ me to stay
Yeah, your lips keep gettin’ in the way
You know we should’ve called it a night, babe
But goodbye’s something I can’t say
Yeah, your lips keep gettin’ in the way (gettin’ in the way)

Windows, we already fogged up the windows
We’re writing our names on the glass
As the clock keeps ticking
Sun’ll be up any minute

Oooo, oh, I said, thirty more minutes, thirty minutes ago
Oooo, oh, but we’re still right here and you already know that

I should leave, put the car in drive babe
But your kiss keeps tellin’ me to stay
Yeah, your lips keep gettin’ in the way
You know we should’ve called it a night, babe
But goodbye’s something I can’t say
Yeah, your lips keep gettin’ in the way (gettin’ in the way)

‘Cause goodbye’s something I, something I can’t say
Yeah, your lips keep, keep
Gettin’ in the way

I should leave, put the car in drive babe
But your kiss keeps tellin’ me to stay
Yeah, your lips keep gettin’ in the way
You know we should’ve called it a night, babe
But goodbye’s something I can’t say
Yeah, your lips keep gettin’ in the way (gettin’ in the way)"
