genre,artist,album,song,lyrics
Rock,Little Anthony & The Imperials,I Love Music - Only Original Recondings ,So Much ,"Oooh, oooo...
I'd move a mountain
If you want me to
Though it's hard, so hard
It's, oh, so hard
I love you
I need you so much
(So much)
I'd swim the ocean
If you want me to
Though it's hard, so hard
It's, oh, so hard
I love you
I need you so much
(So much)
Where did you go, oh
Where did you stray
What must I do, my dear
To make you stay, oh
I pray every night, dear
For your return
For your tender kiss, dear
(My dear) woah, oh
I'd give you my heart
If you want me to
Yes, I will (yes, I will)
Yes, I will (yes, I will)
You know I will
Cause I love you
I need you so much
(So much)
Oh, so much
(So much)
Oh, so, so much"
Rock,Little Anthony & The Imperials,I Love Music - Only Original Recondings ,I'm Alright ,"Well, I'm alright, alright
I'm alright, yes, I'm alright
Since my baby told me she love me
I'm alright, I'm alright
Since she told me, she put no one above me
I'm alright now, I'm alright
I'm alright, I'm alright
I'm alright, yes, I'm alright
Since my baby held me in her arms
I'm alright, I'm alright
Since she let me to taste her many charms
I'm alright, I'm alright
I'm alright, yes, I'm alright
I'm alright, let me tell you I'm alright now
She told me that she love me
She told me that she cared
And when she told me that
It made me feel like a millionaire
I'm alright, I'm alright
She made me feel so happy
Oh, she made me feel so glad
Never will I be blue again, never will I be sad
'Cos I'm alright, I'm alright
I'm alright, I'm alright
Yes, in her arms feels so good
Yes, I'm in her arms, taste her many charms
Yes, I'm full of joy
Oh, I feel like a baby boy
Let me hear [Incomprehensible] tell me alright now
Yeah, I'm alright, let me tell you I'm alright
Let me tell you I'm alright, let me tell you I'm alright
Let me tell you, let me tell you I'm alright
Alright now, alright, alright, alright"
Rock,Little Anthony & The Imperials,I Love Music - Only Original Recondings ,Tears on My Pillow ,"You don't remember me
But I remember you
Twas' not so long ago
You broke my heart in two
Tears on my pillow
Pain in my heart
Caused by you (oooh, oooh)
(you, oooh oooh)
If we could start a new
I wouldnt hesitate
I'd gladly take you back
And tempt the hand of fate
Tears on my pillow
Pain in my heart
Caused by you (oooh, oooh)
(you, oooh oooh)
Love is not a gadget
Love is not a toy
When you find the one you love
She'll fill your heart with joy
If we could start a new
I wouldnt hesitate
I'd gladly take you back
And tempt the hand of fate
Tears on my pillow
Pain in my heart
Caused by you (oooh, oooh)
(you, oooh oooh)
ohh..."
Rock,Little Anthony & The Imperials,I Love Music - Only Original Recondings ,Two People in the World ,"Two People In the World
Little Anthony and the Imperials
Written by Richard Barrett and Ernest Wright, Jr.
This did not make the Pop chart
(There's just two kinds of people in the world)
(Why can't we fall in love?)
(Just two kinds of people in the world)
(They are a boy and girl)
Boy meets girl and love begins
Oh, what a feeling you get from within
Oh, I should know for I'm i-in love
I'm the boy, you're the girl, all the stars up above
(Just two kinds of people in the world)
(Why can't we fall in love?)
(Just two kinds of people in the world)
(They are a boy and girl)
(Boy meets girl and love begins)
(Oh, what a feeling you get from within)
Oh, I should know for I'm i-in love
I'm the boy, you're the girl, all the stars up above
(Just two kinds of people in the world)
(Why can't we fall in love?)
(Just two kinds of people in the world)
(Why can't we fall in lo-lo-lo-love?)
Lo-ove?"
Rock,Little Anthony & The Imperials,I Love Music - Only Original Recondings ,Wishful Thinking ,"(Wishful, wishful wishful, wishful)
You don't believe in me
But I believe in you
Those promises you made
I'll never hold you to
Wishful thinking we could start aknew
(Wishful, wishful wishful, wishful)
Those things we used to do
You do with someone new
You don't confide in me
But I confide in you
Wishful thinking we could start aknew
Don't you know I miss you
Since we've been apart
You're no longer in my arms
Still you're in my heart
(Wishful, wishful wishful, wishful)
No matter what may be
You know that this is true
You don't belong to me
But I belong to you
Wishful thinking we could start aknew
(Wishful, wishful wishful, wishful)
Wishful thinking we could start aknew
(Wishful, wishful wishful, wishful)"
Rock,Little Anthony & The Imperials,I Love Music - Only Original Recondings ,The Diary ,"How I'd like to look into that little book,
The one that has the lock and key,
And know the boy that you care for,
The boy who's in your diary.
When it's late at night, what is the name you write?
Oh, what I'd give if I could see.
Am I the boy that you care for,
The boy who's in your diary?
Do you recall and make note of all
